articulationpoint	averagebetweenness	averagecloseness	averagenodeconnectivity	averageeccentricity	averagepathlength	clusteringcoefficient	cohesiveness	compactness	globalefficiency	networkcentralization	networkdensity	networkdiameter	networkheterogeneity
RBBP6	1	7313.0260475651	4.03625658214964e-05	27.1232540581351	4.22885994714987	2.38046739925722	0.0316816590636581	0.999999652050588	28.3555623422297	0.439832174727663	0.773372038314475	0.00256000510223078	6	3.6708028741625
SMAD5	1	7313.04180822946	4.03625179957066e-05	27.1224990562476	4.22885994714987	2.38047037437084	0.0316753382419072	0.999999652040902	28.3376659305226	0.439831614444289	0.773372109574682	0.00255993384202432	6	3.670907713062
JUNB	1	7312.99207248019	4.03626549548504e-05	27.1262740656852	4.22885994714987	2.38046098583864	0.0316797428374309	0.999999652089325	28.3490370257286	0.439833082701463	0.773371753273649	0.00256029014305665	6	3.67049991081553
JUND	1	7313.01179690444	4.03625959532331e-05	27.1279728199321	4.22885994714987	2.38046470918443	0.0316826138165729	0.999999652111112	28.3400336685885	0.439832505196876	0.773371592938185	0.00256045047852119	6	3.67020086518849
SMAD4	2	7311.01755379385	4.036828510381e-05	27.1077765194413	4.22838807097018	2.38034880081623	0.0316552843342123	0.999999651851922	28.3023491996891	0.439767426516112	0.773373499148708	0.00255854426799823	6	3.67258968241664
SMAD1	1	7313.23187995471	4.03620585771951e-05	27.1126840317101	4.22885994714987	2.38050625388479	0.0316661862113342	0.999999651914938	28.3335480269655	0.439826880391228	0.773373035957366	0.00255900745934026	6	3.67214676217116
SMAD2	2	7311.99160060391	4.0365782548962e-05	27.0798414496036	4.22848244620612	2.3805327046759	0.031630037959646	0.999999651492778	28.2636229679401	0.439747464156705	0.773376135776347	0.002555907640359	6	3.67524712797393
SMAD3	3	7309.69129860325	4.03723208585374e-05	27.0760664401661	4.22791619479049	2.38035896662981	0.0315976237240434	0.999999651444189	28.207718442207	0.439686245106906	0.773376492077379	0.00255555133932667	6	3.67541894282304
SKIL	2	7310.93667421665	4.03684774876921e-05	27.1155152887882	4.22838807097018	2.3803335304347	0.0316719790901306	0.999999651951283	28.3382551488233	0.43976948088848	0.773372768731591	0.00255927468511451	6	3.67179621997498
SERPINA3	1	7312.1549641374	4.03652215204461e-05	27.1313703284258	4.22876557191393	2.3803029663308	0.0316786718784825	0.999999652154676	28.3428309831617	0.439858299016181	0.77346565641072	0.00256077114945029	6	3.67024025420417
RHOB	1	7313.00113250286	4.03626267177154e-05	27.1268403171008	4.22885994714987	2.38046269608359	0.0316831663814188	0.999999652096588	28.3578834857876	0.43983279766064	0.773371699828495	0.0025603435882115	6	3.67044346361464
RHOC	1	7312.9703661759	4.03627192381986e-05	27.1296715741789	4.22885994714987	2.38045688837677	0.0316835663255496	0.999999652132895	28.3581526951394	0.439833857656208	0.77337143260272	0.00256061081398574	6	3.67012016966039
ATN1	1	7313.16949792366	4.03622209057311e-05	27.1172140430351	4.22885994714987	2.38049447813568	0.031680270768009	0.999999651973086	28.3892389793179	0.439828519375982	0.773372608396127	0.00255943502057906	6	3.6717530129998
RHOA	1	7313.07606644016	4.03624331179711e-05	27.1138165345413	4.22885994714987	2.38047684123458	0.0316743000655982	0.999999651929477	28.3461929369999	0.439830461810449	0.773372929067056	0.00255911434964996	6	3.67207437935223
GRN	1	7312.53831634579	4.03641917732237e-05	27.1260853152133	4.22876557191393	2.38037533107047	0.0316805313520167	0.999999652086905	28.3776995764715	0.439847388781686	0.773466155232165	0.00256027232800503	6	3.67077618839781
NBR1	1	7312.97857682148	4.03626958055995e-05	27.1285390713477	4.22885994714987	2.38045843828626	0.0316825620494622	0.999999652118373	28.3429113748981	0.439833585679754	0.77337153949303	0.00256050392367604	6	3.67022776645026
OSBP	1	7313.01160815403	4.03625962585418e-05	27.1274065685164	4.22885994714987	2.38046467355432	0.0316804372709852	0.99999965210385	28.3384599243649	0.439832496289351	0.77337164638334	0.00256039703336634	6	3.67030895317235
BCAT1	1	7312.96394865988	4.03627378876478e-05	27.1309928274821	4.22885994714987	2.38045567695326	0.0316823320785865	0.999999652149836	28.3473798178965	0.439834083313528	0.773371307897359	0.00256073551934706	6	3.67000831679622
