Interactor_A	Interactor_B
STX1A	STXBP2
STX1A	UNC13B
STX1A	SNAP29
CD4	SPG21
FKBP1A	TGFBR1
FKBP1A	YY1
FKBP1A	FKBP4
EPB41L2	FKBP2
FKBP2	ARFGEF1
EPB41	FKBP2
CD2	SH3KBP1
CD2	CD2AP
CD2	CD2BP2
NCF4	TXN
MAP3K5	TXN
TXN	TXNIP
CSF1R	GRB2
GRB2	MET
TMPO	BANF1
NR2F2	FAM46A
PTMA	HIST2H4A
PTMA	PHB2
PRKAR1A	AKAP10
PRKAR1A	ARFGEF2
PRKAR1A	AKAP7
FHL2	TTN
TTN	OBSCN
APBB1	TFCP2
NFYA	SP1
GRB2	PRNP
NFYA	ZHX3
NFYA	ZHX1
NFYA	ZHX2
NFYB	CEBPZ
HCFC1	SP1
MEF2C	SP1
SP1	POGZ
ZEB1	DRAP1
GTF2E2	SUPT16H
RPS6KA3	MAGI1
RPS6KA2	MAGI1
RPS6KA1	MAGI1
ABL1	GRB2
GTF2F1	SRF
E2F1	NDN
E2F1	TFDP2
E2F1	MDM4
E2F1	NPDC1
GTF2H1	GTF2H2
ABL1	EPHB2
ABL1	DOK1
ABL1	NCSTN
ABL1	PAG1
ABL1	ATM
ABL1	GPX1
ABL1	ZDHHC16
ABL1	DOK3
ABL1	ABI1
LPHN1	ANKS1A
MYB	SND1
MYB	TTF2
MYB	UBE2I
MYB	NLK
DLG4	LPHN1
TFRC	GABARAP
ARAF	HRAS
HRAS	RALGDS
HRAS	PDE6D
HRAS	SHOC2
HRAS	RABAC1
HRAS	RIN1
DLG3	LPHN1
HRAS	RAP1GDS1
HRAS	RGL1
GRB2	TEK
HRAS	RASIP1
HRAS	ZBTB12
FES	HSH2D
RAB8A	PDE6D
HDAC6	TUBB
HDAC6	TUBA1B
CASP9	GMEB1
KRAS	RALGDS
KRAS	SHOC2
KRAS	RAP1GDS1
CALM1	KRAS
MYC	YY1
SMAD2	MYC
CASP8	GMEB1
SMAD3	MYC
MYC	NMI
MYC	ZBTB17
MYC	MYCBP
CDKN1B	GRB2
EPHB2	SRC
EDN1	UBQLN4
SMARCE1	SRC
ERBB3	PA2G4
ERBB3	RGS4
ERBB3	PTGES3
DAXX	TGFB1
TGFBR1	TGFBR2
AP2B1	TGFBR1
TGFBR1	STRAP
TGFBR1	TGFBRAP1
TGFBR2	CCNB2
DAXX	TGFBR2
TGFBR2	STRAP
KPNA3	TGM2
KPNA4	TGM2
NOTCH1	SNW1
NOTCH1	DTX2
ZFP36	EXOSC8
ZFP36	UPF2
ZFP36	EXOSC6
TPBG	GIPC1
TSC2	YWHAZ
TSC2	YWHAB
TSC2	RABEP1
TSC1	TSC2
NEK1	TSC2
SIAH1	TUBA4A
ARHGAP1	TUBA4A
TUBA4A	HSPH1
TUBA4A	STARD13
GAB1	GRB2
TNFAIP3	IKBKG
TNFAIP3	YWHAZ
TNFAIP3	YWHAB
TNFAIP3	TRAF1
TNFAIP3	TRAF2
TNFAIP3	TAX1BP1
TNFAIP3	YWHAG
TNFAIP3	TNIP1
TNFAIP3	TNIP2
TP53	ELL
KPNA2	TP53
NDN	TP53
AURKA	TP53
TP53	TADA3
DAXX	TP53
TP53	CDC14A
TP53	WWOX
TP53	HIPK1
TP53	KAT2B
TP53	PIAS4
CHD3	TP53
TP53	ZHX1
TP53	PIAS1
FANCC	HSP90B1
TNFRSF1A	RIPK1
TNFRSF1A	BAG4
PSMD2	TNFRSF1A
TNFRSF1A	UBE2I
TNFRSF1A	NSMAF
TNFRSF1B	TRAIP
KDR	SHC1
ATR	KDR
DDR2	SHC1
U2AF1	ZRSR2
U2AF1	NXF1
RP9	U2AF1
U2AF1	ZRANB2
ZRSR2	U2AF2
DDX6	U2AF2
SF1	U2AF2
UQCRC1	RTN4
UQCRC2	RTN4
CDKN1B	UCHL1
UCHL1	RANBP9
UCHL1	COPS5
UBE2I	UCHL1
RPS27A	GGA3
CDH1	GNA12
CDH1	GNA13
CDH1	CBLL1
BIN1	ITGA1
AUP1	ITGA1
ITGA1	PTPN2
AUP1	ITGA2
ITGA4	EED
ENO1	AGTPBP1
VIM	ARMCX2
ERCC5	EWSR1
PKN1	VIM
PKD1	VIM
EWSR1	HBP1
PPL	VIM
EWSR1	HSPA2
VIM	DNM1L
VIM	UTP14A
VIM	SETDB1
VIM	PIAS4
EWSR1	ATXN3
CHD3	VIM
VIM	TRIM29
VIM	ZHX1
VIM	PPHLN1
EWSR1	PCBP1
VIM	ING5
VIM	COPS6
VIM	KIAA1377
VCL	RAVER1
ETV6	FLI1
AUP1	ITGAV
ITGAV	PAK4
FLNA	VHL
VBP1	VHL
VHL	USP33
LIG3	XRCC1
OGG1	XRCC1
XRCC1	APTX
POLB	XRCC1
XRCC1	PNKP
RPL7	ZNF7
SMAD4	ZNF8
SMAD2	ZNF8
SMAD1	ZNF8
SMAD3	ZNF8
SMAD5	ZNF8
ZNF24	ZNF174
ZNF10	TRIM28
ZNF10	TRIM24
EWSR1	USP7
ZNF76	PIAS1
MZF1	SCAND1
NARS	LSM1
