Interactor_A	Interactor_B
SFPQ	SSR4
HNRNPU	TPBG
CFDP1	DMAP1
DHX16	GCC2
NAA20	NAA25
MRPL14	SARNP
SUGP1	MRPL53
NABP2	MRPL53
UTRN	RRP9
DDX1	RNF168
XPO1	XPO7
DDX1	RANBP9
SEPT7	SRSF5
SEPT2	SMARCA5
ATP6V1B2	DARS
PSAP	TCERG1
RPL19	RPS27L
SOD1	PRDX5
NDUFA7	RPL38
SEPT2	TRA2A
GSN	SDHB
RPL17	RPS27L
NDUFA7	TIMM44
ACAA1	SUGP1
SRP14	ACIN1
ATP6V1F	SRXN1
SCARB2	NONO
RNPS1	GNL3
PRPF3	THRAP3
ZC3H15	THOC2
NDUFA7	RRBP1
MRPS31	SRPRB
EWSR1	TMEM126A
SFPQ	DNAJC19
LAMTOR3	NNT
FAM3C	RMDN3
SPCS2	PGRMC1
NFIA	SAP18
ILF2	ALDH18A1
NCL	EIF3A
ECH1	DNAJB11
RPS19	MRRF
SRSF11	UTP14A
EIF4B	PHAX
VDAC3	SUGP1
RPL23A	RPS27L
SLC25A3	ATP6V0A2
U2AF2	RRP7A
SEPT7	ZNF326
POLR1C	CRCP
NHP2L1	SURF4
CLNS1A	PTMS
NDUFA7	PIN1
U2AF1	RRP7A
NDUFA7	SBDS
VAMP2	PRDX5
SCP2	MRPS28
TPBG	SF3B3
RPL37A	RBM25
ILF2	TIMM13
VPS41	VPS33A
RPL18A	NIFK
RPL37A	TPR
PGK1	HTATSF1
GNL3	RRP7A
THOC1	UBR7
ILF2	SARS2
UBE2V1	UBE2V2
RAB8A	NDUFA7
HSP90AA1	RPL17
WDR1	TXNDC17
PRPF3	PATL1
EEF1A1	RANBP2
TACC1	NIF3L1
IK	SUPT16H
CDK19	FKBP15
HTATSF1	FAM129B
RBM12	SDHAF2
PRDX6	TIMM9
NDUFA7	PDLIM5
NDUFV2	NPTN
XPNPEP1	ATP6V1D
HDLBP	UPF1
NFIA	NOP2
NDUFA7	RBM27
NDUFA7	MRRF
NDUFA7	TAGLN
SRSF2	YAP1
SEPT7	HNRNPC
PSMD9	CD2BP2
STAM	AHCYL1
TMEM177	MRPL52
RBMS2	TRA2B
RAB11B	ATP6V1H
THOC5	XPO4
HRSP12	SUGP1
SCP2	TIMM44
NFIA	TRA2A
RPL22	RPS27L
KIF5B	KLC4
MRPL16	MARCKSL1
AHCYL1	C11orf58
TLE3	ALYREF
PPT1	XRCC1
UTRN	THOC2
ILF3	RTN4
SUGP1	NABP2
VIM	THOC3
ILF3	MRPS14
OXCT1	SVIL
RPS14	NCSTN
HNRNPU	MRPL52
IRF2BPL	NADK2
FERMT2	NADK2
FIS1	CDV3
GPI	TMEM256
LEMD3	CDV3
PPP1R12A	CDV3
UQCR10	CYSTM1
RAB11A	CYSTM1
CDV3	MRPL14
MRPS28	CDV3
RRM1	SGSH
PTGES3	AHCYL1
CDV3	MPLKIP
ACAT1	TOPBP1
TSR1	MRPL52
FUBP1	MRPL32
THRAP3	NCSTN
RAD50	NCSTN
SRSF11	NCSTN
UBE2B	USP9X
PRDX2	URM1
RPL30	NIFK
HNRNPK	RANBP2
DHX16	MIF4GD
NOP2	RPL18
SGTA	AHCYL1
AHCYL1	STIP1
AHCYL1	SUGT1
TACC3	AHCYL1
AHCYL1	TARDBP
AHCYL1	THADA
TKT	AHCYL1
TOR1AIP1	RIF1
YAP1	AHCYL1
ZRANB2	AHCYL1
RAB8A	SCP2
RPL5	NIFK
RPL5	RRS1
SON	DDX21
SEPT7	NCSTN
SLC25A3	TMEM126A
FUBP1	MRPL41
UBA2	CHMP5
UBA1	WDR73
NDUFS3	SAMM50
THOC5	ZKSCAN5
NOP2	RPL18A
USP13	THOC7
ZPR1	ATP6V1F
ZPR1	VPS4B
CALR	KRT17
NHP2L1	TRA2A
TPM2	TPM4
TST	SLC9A3R2
SEPT2	NCSTN
RPS24	SF3B6
NCSTN	FTSJ3
USP39	NCSTN
UTP14A	NCSTN
EIF4A3	WIPF2
NHP2L1	ZC3H18
LSM1	PATL1
RPS11	NCSTN
ZC3H15	THOC6
NCSTN	RBM25
NCSTN	PRPF6
PRDX2	PRDX5
IER3IP1	CYSTM1
NDUFB11	CYSTM1
UQCRQ	CYSTM1
RFX5	CDV3
TUFM	MRPL14
HNRNPU	RRP7A
SCO2	CDV3
STX7	SUGP1
TBL2	SUGP1
MPST	NADK2
MRPL19	TMEM177
NADK2	TMEM189
TMX1	CYSTM1
CDC5L	UTP14A
CDC5L	ZC3H18
RHOA	CLNS1A
SRSF10	NCSTN
RRS1	NCSTN
NCSTN	TRA2A
RNH1	DSTN
ILF3	MRPL42
POLR2I	CPSF6
TOMM70A	TIMM50
SPR	SUGP1
USP5	UBR1
USP34	UFC1
USP34	UFM1
USP5	ZNF593
ZNF593	UBR1
ZRANB2	USP34
SCFD1	MRPL13
WDR12	VPS37B
MYO1C	DDX21
SMARCA2	SLC9A3R2
RPA1	UBXN1
NOP2	RRS1
AHCYL1	TOM1L2
MATR3	UTP14A
TSR1	MRPL38
PICALM	HIP1R
RPS8	UTP15
DHX16	PYROXD1
ILF3	RCN1
ILF3	MRPL44
MAPRE2	DGCR8
RRP9	THOC1
KARS	VBP1
CDV3	ELMSAN1
DYNLL1	NADK2
PNP	NADK2
NOP2	RPL15
NCSTN	RRP7A
NOP2	RPS7
SSR3	DDX21
STMN1	NADK2
TSR1	MRPL24
VDAC3	CDV3
UBE2K	WDR1
RPL5	RPS27L
CAD	TUBA4A
SEPHS1	PPIL3
UCHL3	UBA6
HDLBP	VPS26A
CD2BP2	GINS3
NOP2	RPL7
TPM1	TPM4
UBE2V2	ZYX
RAB11B	HNRNPUL1
ILF2	MRPL21
NOLC1	UTP14A
ATP6V0A1	MRPL46
TOMM40	NIPBL
TYMS	TXNDC17
HNRNPAB	MRPS18B
ILF3	KRT17
NOP2	GNL3
SGSH	PRDX2
MRPL9	TMEM177
LSM4	WDR44
HNRNPM	RBM14
DDX1	GEMIN5
THRAP3	SF3B2
MRPL12	UFM1
RPS25	RPS27L
SARNP	MRRF
RPL18	PTGES3
IK	MYBBP1A
POLR2A	RUVBL2
TUFM	MRPS14
UBE2V2	UBXN1
LSM4	PYROXD1
ZPR1	VPS26A
TROVE2	TEP1
DLST	MRPL39
NUP153	PNPT1
OXCT1	UBXN7
STAM	ZRANB2
EEF1A1	MRPS7
DDX1	STRN
RPS3	SND1
RAB5C	FLOT1
LMNA	WDR18
ATP6V1H	RMDN3
SDHB	SLC25A22
TPM1	SRXN1
RHOB	ILF2
CRCP	POLR1D
SAFB	RBMX
TUFM	MRPL22
YBX1	SSBP1
VIM	THOC5
ILF3	QSOX2
MRPL50	TSR1
ATP6V1B2	UBE2V2
IGBP1	MCFD2
IGBP1	LGALS3
IGBP1	ATP6V1F
IGBP1	PABPC4
IGBP1	PCBP1
IGBP1	PSRC1
IGBP1	S100A11
UBE2V2	USP9X
IGBP1	PPIA
IGBP1	RAC1
IGBP1	STAM
TYMS	WDR1
FLNC	DYNLRB1
HNRNPL	HNRNPDL
TSG101	XPO1
RRS1	NOP58
ILF3	MRPL45
TPM1	RBM15
IGBP1	PPIL3
NOP56	FTSJ3
SEPT11	TMEM189
SEPT7	UTP14A
MPV17	MRPL23
IGBP1	POMP
CLNS1A	OSTF1
TRIP6	TOLLIP
ILF3	MRPL15
EEF1A1	RAB7A
MPV17	MRPL11
HNRNPR	MRPL42
LAMP2	MCM7
LAMP2	RBBP4
LAMP2	SF3B3
VDAC2	ATP6V1H
TSFM	MRRF
SON	USP39
GTF3C1	USP39
SSR4	CCT7
NDUFS6	TJP1
MYBBP1A	RRS1
SAFB	SON
GALNT2	RPS15A
IK	TPR
USP9X	UBXN1
YAP1	UBQLN2
EIF6	LMNB1
NOP2	RPS8
EWSR1	SAP30BP
SULT1A1	YAP1
SDHB	RBM14
ICT1	SYNJ2BP
SEPT7	SNRPA1
EIF2S1	POP1
OXCT1	VMA21
DDX39B	TXNL1
PSIP1	NCSTN
ATP6V1D	PTRH2
SF3B1	TRMT112
RPL13	RPS27L
NDUFA2	LAMTOR3
DDX1	TMED9
IGBP1	MYL12A
IGBP1	PFDN1
IGBP1	GINS3
IGBP1	RBM12
IGBP1	SUMO2
CCT8	RUFY1
UBE2V2	USP34
UBE2V2	UBXN7
UBE2D1	ZPR1
SF3A1	TRA2A
MTR	LSM4
MPV17	MRPL32
VDAC3	SARNP
CALR	HSP90B1
MPV17	NDUFB9
IGF2R	TM9SF4
SERPINH1	UBL4A
ILF3	OPA1
MCM4	DCTN2
POLR2D	SMARCD3
SNX15	METTL14
KLC1	KLC4
SERPINH1	STX7
SERPINH1	TBL2
HNRNPU	MRPL42
SPTAN1	SARS2
ILF3	SSR4
RPS15	ATP6V1D
STAM	SSSCA1
SUMO2	SSSCA1
SSSCA1	TES
THADA	SRXN1
ACAT2	SSU72
USP34	SRXN1
STAM	USP34
SSSCA1	UBXN1
SSSCA1	UFC1
ATP6V1F	UBXN7
UTP14A	WDR18
UBQLN4	ZFYVE19
ZPR1	UBQLN4
ILF2	PC
TSR1	VPS16
ATP5A1	P4HB
HNRNPM	SND1
PRPF4B	SUPT16H
SEC23IP	URM1
ILF3	PPT2
NUMA1	NCSTN
SNRPD3	CHCHD3
UBE3C	THOC2
RPS15	ATP6V0A2
SDHA	MTERF3
TUFM	MRPL4
HNRNPC	RRP7A
UBA2	AHCYL1
SEC24C	AHCYL1
SRSF2	UBA2
UBA2	SEPHS2
SULT1A1	AHCYL1
TRIP6	UBA2
AHCYL1	TTLL12
UBE2D2	AHCYL1
UBE2L3	AHCYL1
USP34	AHCYL1
UBA2	UNK
UBA2	ZFYVE19
NOP56	NCSTN
TOP1	NCSTN
UBA52	UNK
SNRPD3	RPS27L
PSMD1	SF3A1
KARS	UBE2S
TJP1	RTN4
NDUFA2	RPL38
SURF4	PHGDH
USP34	UBE4B
UBE2S	ZC3H18
USP10	ZC3H18
NONO	SON
SOD2	VAPA
UBE2B	UBE2V1
UBE2B	UBQLN4
PPIF	NABP2
MCM7	DCTN2
TSG101	WDR12
NAP1L1	PDCD4
ACIN1	RHOT2
THY1	UBE2I
SUGP2	TIMM10
BUD31	TRA2A
TSN	UBA6
BUD31	ZC3H18
PRPF4	PATL1
PPP3CA	MRI1
USP5	TXNL1
ILF3	PC
ATP6V1E1	LAMTOR3
LSM2	TRIM56
TPM1	ZYX
SLC9A3R2	TACO1
UQCR11	NNT
SMARCA4	CPSF2
PSMC5	ECD
SBDS	SLIRP
MRPL15	TMEM177
USP34	UBQLN1
USP34	UBXN7
ATP6V1B2	TRMT1
YAP1	UNK
UBXN1	ZFYVE19
UFM1	ZFYVE19
UCHL3	ZNF593
MAD2L1BP	SEPT11
UBE2D1	USP9X
PRDX6	PRDX5
VPS26A	VPS25
RPS10	PRPF3
STIM1	SEPT11
NXF1	LUC7L3
NDUFA7	PIN4
NDUFA2	TIMM44
ILF3	RPS27L
VCP	TXNDC5
TPBG	BUD31
SURF4	SF3B1
SAFB	TRMT112
RPS10	PRPF4
ATR	CCNB2
PRKCSH	HSP90B1
MED1	ZNF281
NDUFS3	SSBP1
DYNC1H1	NCOA5
TXNDC12	TXLNA
TACC3	SRXN1
NABP2	SARNP
LAMP2	PRPF19
LAMP2	SRP14
ACAA1	SCP2
SRSF3	FAM3C
DHX15	ECSIT
THY1	SUGP1
BET1	ACIN1
GNAQ	CDK19
LAGE3	MAGED2
LACTB2	NDRG3
LAGE3	NDRG3
SDHA	RAVER1
LSM4	RMI2
NCSTN	PHGDH
UBE2M	SLC9A3R2
NHP2L1	UTP14A
SEC23IP	ZNF518B
HDLBP	VPS36
RPS11	SF3B6
OGDH	SSBP1
HNRNPUL1	ATP6V1H
HNRNPU	NFIA
GTF2B	LSM4
NDUFA7	RANGAP1
NDUFV1	TCOF1
NDUFA2	UBL4A
NDUFA7	UBL4A
HSPD1	HEXIM1
ERLIN1	CHCHD6
LMNB1	HP1BP3
RPL24	CHCHD2
TUFM	MRPL24
TUFM	MRPS5
CHCHD6	TMED4
ZC3H4	MRPL45
SUGP1	SRPRB
ILF3	MRPL40
NDUFV2	SURF1
SF3B2	TMED9
NCL	RCN1
MPV17	MRPL17
NOP2	RPS15A
PFN1	ACAA2
UTP20	ZBTB7A
SDHA	TIMM50
UQCRFS1	SELENBP1
SEPT7	SAFB
FUT8	ACIN1
MPV17	LAMTOR3
RPS27A	PTGES3
NDUFA2	UBE4B
ILF3	SARS2
VDAC2	SFXN3
MGST3	ZMPSTE24
UBE2B	UBXN7
SAFB	UTP14A
SNF8	METTL14
NDUFA7	PDLIM7
DHX15	GTF3C1
RPN1	TECR
DHX15	NDUFAF4
PTPN2	KATNB1
RBM39	RRS1
S100A6	CD2BP2
TIMM44	SUGP1
AHCY	XIAP
SUCLG1	SELENBP1
HDLBP	UBA6
ATP6V1A	TXNL1
SFPQ	TIMM10
LAMP2	PDS5B
DHODH	NDUFS8
SDHB	IWS1
PITRM1	RIF1
MYBBP1A	RRP7A
HNRNPU	MRPS34
VPS35	TRMT61A
ZPR1	UHRF1
MRPL37	TSR1
PKM	FUBP1
NASP	VCP
UBA52	SSSCA1
MYBBP1A	PTRF
NHP2L1	PCNA
VIM	URGCP
ACIN1	DHRS7B
SF3B2	TMOD2
TRIP6	SSSCA1
TTC1	SSSCA1
SSSCA1	TTLL12
UBE2V2	SSSCA1
QARS	UBA1
TLN1	UBA1
SSSCA1	UBXN7
VPS4B	SSSCA1
ZRANB2	SSSCA1
VCP	DSTN
ZC3H15	THOC7
SRSF2	TMEM126A
MRPL23	TUFM
U2AF1	RRS1
S100A16	TMEM9
NOP56	TRMT112
ATP6V1A	VAPA
NSF	PMS2
NDUFA7	TPX2
MOV10	RAP1B
NDUFA7	UBE2L3
FUBP1	MRPL38
CDV3	UQCC3
ERMAP	NADK2
CDV3	GLIPR2
HTRA2	NADK2
TIMM9	NADK2
TMEM177	NADK2
TSR1	UBAC2
USP14	UNC45A
VPS29	NADK2
ILF2	IARS2
NDUFV1	VPS29
RPS16	PPT2
NONO	STRN4
SEPT2	U2AF1
SEPT2	SRSF10
NDUFA7	SNX3
ATP6V0A1	SCFD1
EPRS	SRSF10
DHX9	SON
CDC5L	TPBG
NFIA	TPBG
SNRPD2	SUPT16H
LAMTOR3	DDX28
NDUFA7	ECI2
RPS4X	RPS27L
SUGP1	SLIRP
SRSF10	TCERG1
EPRS	TRMT1
ACAA1	NDUFA2
HNRNPL	ATP6V1F
VCL	DNAJC5
DYNC1LI2	DYNLT3
SNRPC	SRPRB
ACP2	UQCRFS1
MSH3	KATNB1
TOP2B	HNRNPR
SDHA	LRRC8A
RANBP3	RGPD1
ILF3	MRPL4
MRPL32	MRPL57
WDHD1	PLBD2
RPL23	NIFK
NFIA	SRSF7
DLST	MRPL40
NHP2L1	SON
ATP6V0A1	MARCKSL1
RPS15A	NIFK
SEPT7	SRSF7
NFIA	NOP56
NFIA	RRS1
RPL11	RRS1
NFIA	RPS13
NFIA	SON
DDX21	FTSJ3
UBXN1	UNC45A
SAFB	ZC3H18
ACTN4	ACTN1
VDAC3	PQBP1
FLOT1	LAMTOR2
HDLBP	VPS25
SCP2	UBL4A
SMARCA5	EIF4A3
SON	PRPF19
NFIA	SRSF10
MTHFD1	PPT2
ILF3	PTPN1
RBMS2	TSR1
TSN	TTC4
VPS41	UTP20
RALB	LAMTOR3
SNAP23	SCFD1
HNRNPF	RANBP2
SCFD1	MRPL15
ABCB8	RAB11FIP5
PFDN4	SORD
SYNJ2BP	MRPL45
GNAI2	CYSTM1
GNAI3	CDV3
SLC16A1	CYSTM1
RRBP1	CDV3
TIMM44	CDV3
UBL4A	CDV3
UGP2	DNPEP
UBE2L3	USP9X
UQCRFS1	USP7
SF3B3	TRA2A
NDUFA7	HRSP12
TXNRD1	SF3B3
USP5	ZFP91
PICALM	LAMTOR3
MAT2A	RPS3A
NDUFA7	RBMS1
EPRS	TXLNA
KCTD3	LRRC40
DARS	C18orf8
PSMC4	DCTN2
RRS1	GNL3
ILF2	MRPS26
SRSF5	TIMM50
EIF2S1	TMED9
RHOA	MPV17
RRBP1	SCP2
SCFD1	SLC25A46
TCEA2	DHX16
RBM27	MPLKIP
UBL4A	RBM27
VDAC3	RBM27
MSH2	SRSF10
SRSF5	SURF4
TNPO1	VPS16
ACIN1	TRMT112
RPL7	NIFK
RPL19	RRS1
RPS8	NIFK
S100A11	STAM
DFFB	NUBP1
LACTB2	SMEK2
PTMS	LAGE3
CD2BP2	AHCYL1
SRSF10	PHGDH
SNRPC	SLIRP
LAMP2	TUBA1B
PHGDH	TRA2A
SF3B3	ZC3H18
SFPQ	TPR
SEPT2	SRSF5
HNRNPH2	HNRNPDL
XIAP	SEC23IP
CTTN	SDHAF2
GTF3C1	SRSF5
MPV17	NDUFB7
NDUFA2	SUGP1
NDUFA7	SUGP1
UCHL3	USP48
CSNK1D	USP16
NIFK	FTSJ3
AHCYL1	SEC24A
AHCYL1	KIAA1598
SOD1	AHCYL1
NDUFA2	SPR
STMN1	AHCYL1
TAGLN2	AHCYL1
TLE3	AHCYL1
AHCYL1	TMOD3
TPM2	AHCYL1
TTC1	AHCYL1
UBE2V1	AHCYL1
UBE2V2	TTLL12
UBA1	AIMP2
UBE2B	AHCYL1
USP34	UBA2
AHCYL1	UBQLN4
TXLNG	WIPF2
SF3B1	TMED9
ABCC1	EIF3C
STOM	ILF3
RRP9	THOC6
EEF1D	TPR
NDUFA7	QKI
SON	NXF1
SEC22B	TMED10
UBXN1	UBQLN4
KARS	TXLNA
SEC22B	SEPT11
PRDX1	ACAA2
NOLC1	PTRF
SAFB	USP39
TTC1	THOC3
BUD31	UTP14A
ZC3H11A	PQBP1
NDUFA7	PQBP1
POLR2A	DCTN2
RHOA	PON2
SURF1	NDUFA12
SEPHS1	XPO7
PSMD1	ACTR1A
SURF4	NCSTN
TST	SEC22B
MATR3	IARS2
COMMD8	COMMD7
DHX16	EHD2
IFIT2	DHX40
CHUK	DHX40
CDK19	MYEF2
MRPL12	RNASET2
NAPA	DHX40
UBE2S	UBFD1
SON	SF3B6
SUMO1	PPIL3
UBE2I	SF3B4
SNRPA	TST
PPT1	SLC9A3R2
ELAVL1	SRSF5
HNRNPM	RANBP2
MRPL12	TMEM9
MSH2	RPS24
PSAP	SMARCC2
S100A11	TACC1
TPM2	TPM3
HP1BP3	NOP16
NOP2	NOP58
EEF2	MRPS5
SRSF11	PHGDH
SMARCA5	PHGDH
UBE2L3	USP34
UBE2V1	USP34
UTP14A	ACIN1
UBE2L3	ZPR1
RCC1	NCSTN
TOP2B	NCSTN
TPM1	TPM3
SUCLG1	SEPT11
DHX15	PFN2
NOP56	BOP1
ILF2	TBC1D2
UBE2L3	C12orf5
DDOST	VDAC2
NCSTN	PRPF40A
PSMC2	SEC23A
SMARCC2	NCSTN
SSBP1	SAMM50
SRSF1	NCSTN
ACP2	M6PR
RCC1	U2AF1
EWSR1	GORASP2
ILF2	NENF
TWF1	TRMT1
UBXN1	UFC1
NHP2L1	WDR18
RPS7	RRS1
VPS29	VPS25
UBE3C	RBM15
BCS1L	UQCRFS1
RFC4	NCSTN
EIF4B	EIF4G2
PDHX	EIF3C
RPS10	UQCRB
DGKA	ORC5
COMMD10	COMMD7
NDUFA2	KIAA0101
NDUFA7	KIAA0101
PDIA4	NENF
NDUFA2	RBM27
MRPL23	NENF
MRPL49	NENF
NFIA	FTSJ3
NFIA	RRP7A
CTTN	SART3
RPL5	TUBA1B
NDUFA7	TBL2
NDUFV1	TMEM189
NFIA	UTP14A
NFIA	ZNF326
SMARCA2	NCOR1
ILF2	SSR4
P4HB	SURF4
FLOT2	MRPS14
BCAS2	SRSF10
UBE2A	UBQLN1
SAP18	NCSTN
SUCLG2	PRDX6
IK	SRCAP
SLC9A3R2	NUSAP1
MPV17	PUF60
LAMP2	RFC1
OGDH	MRPL13
PSAP	SAP18
SFPQ	STAG2
UBL4A	SUGP1
ATP6V1F	UBE2C
PRDX6	C11orf58
FLOT2	VDAC2
TRIO	BCAS2
PSMD1	DCTN2
HNRNPM	MRPL37
LRRC40	MRI1
PFAS	SEPHS1
NENF	SARS2
HNRNPU	MARCKS
NHP2L1	RRS1
TXNL1	TXNDC17
UBA52	AHCYL1
ILF2	TRIM56
DYNC1H1	YARS
UBE2V1	UGDH
ATP6V1B2	TUBA1A
ATP6V1B2	UBE2C
UBE2N	ATP6V1H
TIMM44	SEPT9
AHCYL1	GINS4
AHCYL1	SEPHS1
SEC23IP	SSU72
STUB1	AHCYL1
SUMO2	AHCYL1
SEC23IP	TBC1D13
AHCYL1	CCT5
UBE2H	SEC23IP
AHCYL1	UBL7
TWF1	UNC45A
UBA2	YAP1
RPL9	RPS27L
SLC25A5	LGALS3
NCSTN	NOP58
NOTCH2	SPEN
SEPT2	U2AF2
SUPT16H	NCSTN
SRCAP	SARNP
ADAR	DDX17
EWSR1	MBD3
HNRNPH1	RAB5C
PFN1	SET
HNRNPU	UTP14A
MRPS28	SRPRB
U2AF1	NCSTN
SLC3A2	VAMP3
FLOT1	ERLIN2
TPR	THOC6
NPM1	PRPF6
SFPQ	SON
TOMM34	WDR12
OGDH	MRPL15
SNX3	SBDS
ILF3	PRKCDBP
PRDX6	NIT2
NDUFA7	RFX5
RPS26	NENF
SUPT5H	NENF
SPTAN1	PRKCDBP
NDUFA7	STX7
TPP1	DNAJA1
NDUFA7	MPLKIP
NDUFA2	ZC3H11A
MYL6	MYL6B
RPL9	UQCRB
SND1	TOMM22
RPS10	PRPF19
TPM4	SRXN1
UGP2	ISG15
RNASEH2A	NDOR1
SDHB	TOMM7
SEPT2	SRSF7
ILF3	PGRMC1
RPS3A	PPT2
SPTAN1	PPT2
MTX1	CISD1
CDK19	COMMD4
PCMT1	ZRANB2
SEPT7	HNRNPU
CLNS1A	PGAM1
HMGCS1	SPDL1
HMGCS1	SPG21
STAT6	SRXN1
MRPL39	TSR1
ATP6V1D	MRPL40
OXCT1	TCOF1
ILF3	TUBA4A
VDAC1	SF1
NDUFV1	RRM1
TIMM44	SARNP
PSMA1	PPIL3
INO80C	MMS22L
STAG2	SRRM2
DHX16	NAA40
MRTO4	FTSJ3
SCP2	STX7
SUCLA2	NIT2
TIMM9	NIT2
TRMT1	TXNDC5
UBE2D2	TAX1BP3
SRSF10	VASN
TYMS	ZFYVE19
DHODH	SSBP1
POLR1C	TSR1
MDH1	SDHA
SRSF11	TOX4
ACOX1	M6PR
SOD2	ALDH5A1
UPF1	VPS35
SNRNP200	YEATS2
CTSA	RAB2A
RAB8A	RAB31
RRS1	FTSJ3
RPL5	VASN
PSMA1	ZRANB2
DLST	MRPL15
LMAN1	YBX1
CCNB1	NDC80
TCOF1	SEC22B
CLNS1A	SEC24A
AARS	LARS
TAP1	MRPL40
STIM1	S100A16
HNRNPH1	IKBIP
RAD23A	LSM4
DEK	FTSJ3
EBNA1BP2	RRP7A
EIF3C	PAM16
SF1	MPLKIP
UBE2M	SEC22B
SF1	ZC3H11A
ZC3H11A	SUGP1
PPIF	SUGP1
PPIF	TIMM44
BAG3	GORASP2
FLOT2	PTRF
THY1	TIMM44
GNAI2	SRSF1
MCM7	RBBP4
PSMB1	UFM1
RAD23B	UBQLN1
ILF2	RBM14
CIRBP	CNOT3
CDK13	CDK12
SF3B4	SRPRB
SDHB	MRPL45
LTA4H	SIRT1
LAMTOR3	MRPS35
HNRNPA2B1	RPS27A
EPHX1	DNAJB11
RAB5C	LAMTOR3
RPS19	MRPL53
RPL38	SLIRP
U2AF1	PHGDH
PSMC3	UBFD1
USP34	TTLL12
TTLL12	UBXN7
TTLL12	UFM1
ATP6V1F	TTLL12
THOC2	XPO4
ILF3	MRPL11
TLN1	TRIP6
FLOT2	HNRNPUL2
PAIP1	UPF2
PGRMC1	GCN1L1
ILF2	SNAP23
TCOF1	S100A16
SNRPE	TOP2B
RPS11	RPS27L
VPS4B	UBXN1
NONO	TMED9
CCNK	CDK12
EIF2S1	NCOA5
NCSTN	NOP16
FUBP1	MRPL2
FUBP1	MRPL46
RNASET2	SLC9A3R1
SSBP1	MALSU1
SAFB	TMOD2
TNPO1	TNPO3
TSR1	MRPL47
UTP14A	PRPF19
THOC1	XPO4
UBE2S	TPRKB
CD2BP2	GINS4
RPS13	PRPF6
ABCC1	NDUFAF3
USP14	WDR12
EIF4A3	NUP62
CLNS1A	PPA1
SLC25A6	TIMM13
RPS6KA4	DDX42
ICT1	MTHFD1
CALU	SARS2
MTHFD1	PC
RBMS1	NABP2
DGCR8	NAT10
FKBP7	C12orf57
SLC9A3R2	NUDT19
PSMA7	SAMD1
PFN1	SRPRB
ILF3	MRPL23
STOM	HNRNPM
COX15	NDUFS8
STIM1	SEC22B
UBE2B	SRXN1
NFIA	RPS6
VAPA	SF3B4
MRPL12	SUCLG2
SMARCB1	EIF4A3
MPV17	VDAC2
DHX9	MVP
HAUS7	DHX40
RBMS2	SYNCRIP
SPG21	DHX40
FAM162A	SRRT
TBL1X	GID8
SLC25A1	FAM162A
UBR7	VPS33A
MED17	TFIP11
VPS35	VPS25
DDX39B	WDR74
TFPI	SAP18
TRA2B	EIF4H
PSMA2	VIM
PLAUR	PSAP
NDUFV2	PITRM1
HINT1	DHX36
USP5	URM1
MAD2L1BP	DHX40
CLNS1A	PDLIM1
ACIN1	RRP7A
S100A10	SIN3A
STX7	PPIF
TAGLN	SARNP
PPIF	MPLKIP
CSE1L	TWF1
ZC3H4	USP28
ILF2	SPTAN1
DBN1	TPM1
SGTA	LSM4
ATP7A	ACIN1
NDUFS8	OPA1
SURF1	NDUFAF3
ILF3	LAMP1
TUFM	PPT2
VPS33B	VPS35
MYO1C	HNRNPR
PRKDC	SRP14
VPS26A	UBQLN1
MTHFD1	SNRNP70
UBE3C	THOC7
SLC12A4	TMEM43
EEF2	HSPD1
RPS19	RRBP1
ILF3	RPN2
IARS	CCT5
PKN3	DHX40
SPDL1	DHX40
MRPL11	TMEM177
ATP6V1F	UFC1
ZC3H11A	SARNP
C14orf166	FAM98B
HNRNPC	TPBG
SLC25A3	TOMM20
MCM7	SNRPA1
NHP2L1	SSR3
RBMS1	PPIF
SDHA	SAMM50
DHODH	OGDH
RBMS1	TIMM44
ABCC1	PUF60
TJP1	VAPA
ABCB8	ADPGK
EEF1G	PLOD3
CPNE1	TIMM13
TMEM177	MRPL45
TPBG	USP39
NPEPPS	UBA6
DDX3X	IMPDH1
SEC22B	TMED9
XIAP	ATP6V1A
ATP6V0A1	PA2G4
SBDS	CHAMP1
U2AF2	RRS1
NDUFV2	NOTCH2
SERPINH1	SUGP1
HNRNPM	MBD3
KCTD3	MRI1
DLAT	MRPL1
PFN1	MRPL53
SWAP70	C18orf8
PSMB7	SYAP1
SORD	NUDCD2
VCL	TXNL1
SRSF5	SFXN3
SEPT7	GTF3C1
LCP1	RAD23B
VAMP2	S100A16
UBL4A	SARNP
RPL6	RRS1
RPSA	CCT4
KRT7	DIDO1
RANBP2	DDX17
PPT1	SGSH
SUCLG1	RIF1
TMED2	TMED4
CLNS1A	UFC1
SAFB	VASN
ATP6V1E1	SCAMP3
RPS23	RPS27L
PPIB	UBL4A
ZNF131	WDR26
PPIA	TAGLN2
EIF2D	HARS
TWF1	UBE2A
CDK9	GSS
DSTN	URM1
SLC25A3	TMEM177
CSE1L	DARS
TJP1	ZPR1
VAMP2	TDP1
DHX8	KANSL1
RPS18	TCIRG1
VPS4B	UBQLN1
SSBP1	MRPL11
PPT1	TMEM9
FLNB	HNRNPA0
MED17	CPSF2
RPS24	PRPF6
HNRNPR	MRPL4
SF3B6	WDR18
RPS25	DDX24
PPIB	LSM4
SCP2	VDAC2
NONO	SLK
RPL18A	TPR
LAMTOR3	MRPL22
FAM3C	NDUFS7
